Date,Time,Item Code,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Sale or Return,Discount (Yes/No)
2020-07-01,11:06:37.045,102900005115793,0.426,16.0,sale,No
2020-07-01,11:15:58.359,102900005115793,0.432,16.0,sale,No
2020-07-01,11:17:37.280,102900005115793,0.451,16.0,sale,No
2020-07-01,11:39:29.160,102900005115793,0.313,16.0,sale,No
2020-07-01,12:22:43.248,102900005115793,0.451,16.0,sale,No
2020-07-01,14:55:24.326,102900005115793,0.357,16.0,sale,No
2020-07-01,15:33:00.561,102900005115793,0.388,16.0,sale,No
2020-07-01,16:22:45.950,102900005115793,0.369,16.0,sale,No
2020-07-01,17:10:13.444,102900005115793,0.313,16.0,sale,No
2020-07-01,18:51:10.620,102900005115793,0.344,16.0,sale,No
2020-07-01,19:20:25.670,102900005115793,0.444,16.0,sale,No
2020-07-02,09:25:55.657,102900005115793,0.463,16.0,sale,No
2020-07-02,10:37:05.775,102900005115793,0.801,16.0,sale,No
2020-07-02,12:54:05.358,102900005115793,0.419,16.0,sale,No
2020-07-02,14:13:45.764,102900005115793,0.376,16.0,sale,No
2020-07-02,17:26:54.060,102900005115793,0.513,16.0,sale,No
2020-07-02,18:32:03.641,102900005115793,0.482,16.0,sale,No
2020-07-02,18:42:19.358,102900005115793,0.438,16.0,sale,No
2020-07-02,19:30:14.733,102900005115793,0.676,16.0,sale,No
2020-07-02,20:11:26.920,102900005115793,0.382,16.0,sale,No
2020-07-03,10:14:35.152,102900005115793,0.551,16.0,sale,No
2020-07-03,11:18:42.913,102900005115793,0.469,16.0,sale,No
2020-07-03,11:19:37.217,102900005115793,0.476,16.0,sale,No
2020-07-03,17:42:06.014,102900005115793,0.463,16.0,sale,No
2020-07-03,18:03:12.342,102900005115793,0.376,16.0,sale,No
2020-07-03,18:53:35.867,102900005115793,0.382,16.0,sale,No
2020-07-03,19:42:56.473,102900005115793,0.382,16.0,sale,No
2020-07-04,09:36:04.867,102900005115793,0.407,16.0,sale,No
2020-07-04,10:06:06.986,102900005115793,0.363,16.0,sale,No
2020-07-04,10:15:38.780,102900005115793,0.732,16.0,sale,No
2020-07-04,10:31:56.272,102900005115793,0.394,16.0,sale,No
2020-07-04,10:38:58.341,102900005115793,0.507,16.0,sale,No
2020-07-04,10:48:41.076,102900005115793,0.457,16.0,sale,No
2020-07-04,11:08:49.201,102900005115793,0.319,16.0,sale,No
2020-07-04,11:15:18.326,102900005115793,0.407,16.0,sale,No
2020-07-04,11:39:20.780,102900005115793,1.033,16.0,sale,No
2020-07-04,12:23:11.134,102900005115793,0.394,16.0,sale,No
2020-07-04,12:40:45.916,102900005115793,0.507,16.0,sale,No
2020-07-04,15:18:27.076,102900005115793,0.382,16.0,sale,No
2020-07-04,17:09:23.201,102900005115793,0.438,16.0,sale,No
2020-07-04,17:19:59.773,102900005115793,0.35,16.0,sale,No
2020-07-04,18:08:51.326,102900005115793,0.401,16.0,sale,No
2020-07-06,09:31:42.016,102900005115793,0.357,16.0,sale,No
2020-07-06,10:18:23.252,102900005115793,0.344,16.0,sale,No
2020-07-06,10:20:27.180,102900005115793,0.338,16.0,sale,No
2020-07-06,11:15:15.889,102900005115793,0.35,16.0,sale,No
2020-07-06,11:23:55.264,102900005115793,0.651,16.0,sale,No
2020-07-06,11:54:12.755,102900005115793,0.363,16.0,sale,No
2020-07-06,16:37:32.592,102900005115793,0.338,16.0,sale,No
2020-07-06,16:41:19.905,102900005115793,0.382,16.0,sale,No
2020-07-06,17:49:23.588,102900005115793,0.319,16.0,sale,No
2020-07-06,18:10:32.576,102900005115793,0.369,16.0,sale,No
2020-07-06,18:25:30.959,102900005115793,0.507,16.0,sale,No
2020-07-06,18:27:15.608,102900005115793,0.338,16.0,sale,No
2020-07-06,18:46:42.505,102900005115793,0.313,16.0,sale,No
2020-07-06,19:10:35.132,102900005115793,0.67,16.0,sale,No
2020-07-06,19:40:46.655,102900005115793,0.494,16.0,sale,No
2020-07-06,19:54:10.107,102900005115793,0.363,16.0,sale,No
2020-07-07,10:03:38.186,102900005115793,0.814,16.0,sale,No
2020-07-07,11:53:11.243,102900005115793,0.407,16.0,sale,No
2020-07-07,12:27:07.375,102900005115793,0.413,16.0,sale,No
2020-07-07,15:05:46.592,102900005115793,0.401,16.0,sale,No
2020-07-07,15:05:47.715,102900005115793,0.745,16.0,sale,No
2020-07-07,15:06:09.797,102900005115793,0.344,16.0,sale,No
2020-07-07,16:43:57.213,102900005115793,0.751,16.0,sale,No
2020-07-07,16:46:38.717,102900005115793,0.745,16.0,sale,No
2020-07-07,16:55:42.936,102900005115793,0.413,16.0,sale,No
2020-07-07,16:58:12.858,102900005115793,0.407,16.0,sale,No
2020-07-07,17:55:33.420,102900005115793,0.319,16.0,sale,No
2020-07-07,18:29:11.342,102900005115793,0.444,16.0,sale,No
2020-07-07,18:33:20.013,102900005115793,0.332,16.0,sale,No
2020-07-07,19:17:10.559,102900005115793,0.394,16.0,sale,No
2020-07-08,09:11:46.561,102900005115793,0.432,16.0,sale,No
2020-07-08,09:35:14.346,102900005115793,0.319,16.0,sale,No
2020-07-08,10:48:25.851,102900005115793,0.369,16.0,sale,No
2020-07-08,12:35:07.375,102900005115793,0.3,16.0,sale,No
